UART Serial read,40:42.3,UART Serial ready,,,,,
Timestamp,40:42.3,Event,LeftIndicator,RightIndicator,Hazard,LeftButton,RightButton
250209,44:52.0,STATUS_UPDATE,1,0,0,0,0
251209,44:53.0,STATUS_UPDATE,1,0,0,0,0
252209,44:54.0,STATUS_UPDATE,1,0,0,0,0
253209,44:55.0,STATUS_UPDATE,1,0,0,0,0
254209,44:56.0,STATUS_UPDATE,1,0,0,0,0
255160,44:57.0,BLE_CMD_RIGHT_ON,0,1,0,0,0
255209,44:57.0,STATUS_UPDATE,0,1,0,0,0
256209,44:58.0,STATUS_UPDATE,0,1,0,0,0
257209,44:59.0,STATUS_UPDATE,0,1,0,0,0
258209,45:00.0,STATUS_UPDATE,0,1,0,0,0
259209,45:01.0,STATUS_UPDATE,0,1,0,0,0
260209,45:02.0,STATUS_UPDATE,0,1,0,0,0
261209,45:03.0,STATUS_UPDATE,0,1,0,0,0
261231,45:03.0,LEFT_BUTTON_PRESSED,0,1,0,1,0
262209,45:04.0,STATUS_UPDATE,0,1,0,1,0
263209,45:05.0,STATUS_UPDATE,0,1,0,1,0
263570,45:05.4,RIGHT_INDICATOR_OFF,1,0,0,0,0
263573,45:05.4,LEFT_INDICATOR_ON,1,0,0,0,0
264209,45:06.0,STATUS_UPDATE,1,0,0,0,0
265209,45:07.0,STATUS_UPDATE,1,0,0,0,0
266209,45:08.0,STATUS_UPDATE,1,0,0,0,0
267209,45:09.0,STATUS_UPDATE,1,0,0,0,0
268209,45:10.0,STATUS_UPDATE,1,0,0,0,0
269209,45:11.0,STATUS_UPDATE,1,0,0,0,0
270209,45:12.0,STATUS_UPDATE,1,0,0,0,0
271209,45:13.0,STATUS_UPDATE,1,0,0,0,0
272209,45:14.0,STATUS_UPDATE,1,0,0,0,0
273209,45:15.0,STATUS_UPDATE,1,0,0,0,0
274209,45:16.0,STATUS_UPDATE,1,0,0,0,0
275209,45:17.0,STATUS_UPDATE,1,0,0,0,0
276209,45:18.0,STATUS_UPDATE,1,0,0,0,0
277209,45:19.0,STATUS_UPDATE,1,0,0,0,0
278209,45:20.0,STATUS_UPDATE,1,0,0,0,0
279209,45:21.0,STATUS_UPDATE,1,0,0,0,0
280209,45:22.0,STATUS_UPDATE,1,0,0,0,0
281209,45:23.0,STATUS_UPDATE,1,0,0,0,0
282209,45:24.0,STATUS_UPDATE,1,0,0,0,0
283209,45:25.0,STATUS_UPDATE,1,0,0,0,0
284209,45:26.0,STATUS_UPDATE,1,0,0,0,0
285209,45:27.0,STATUS_UPDATE,1,0,0,0,0
286209,45:28.0,STATUS_UPDATE,1,0,0,0,0
287209,45:29.0,STATUS_UPDATE,1,0,0,0,0
288209,45:30.0,STATUS_UPDATE,1,0,0,0,0
288350,45:30.2,LEFT_BUTTON_PRESSED,1,0,0,1,0
288379,45:30.2,BOTH_BUTTONS_PRESSED,1,0,0,1,1
289209,45:31.0,STATUS_UPDATE,1,0,0,1,1
290209,45:32.0,STATUS_UPDATE,1,0,0,1,1
291209,45:33.0,STATUS_UPDATE,1,0,0,1,1
291911,45:33.7,BOTH_BUTTONS_HELD,1,0,0,0,1
291915,45:33.7,RIGHT_BUTTON_PRESSED,1,0,0,0,1
291918,45:33.7,HAZARD_LIGHTS_ACTIVATED,1,1,1,0,1
291935,45:33.7,RIGHT_BUTTON_PRESSED,1,1,1,0,0
292209,45:34.0,STATUS_UPDATE,1,1,1,0,0
293209,45:35.0,STATUS_UPDATE,1,1,1,0,0
294209,45:36.0,STATUS_UPDATE,1,1,1,0,0
295209,45:37.0,STATUS_UPDATE,1,1,1,0,0
296209,45:38.0,STATUS_UPDATE,1,1,1,0,0
297209,45:39.0,STATUS_UPDATE,1,1,1,0,0
298209,45:40.0,STATUS_UPDATE,1,1,1,0,0
299209,45:41.0,STATUS_UPDATE,1,1,1,0,0
300209,45:42.0,STATUS_UPDATE,1,1,1,0,0
301209,45:43.0,STATUS_UPDATE,1,1,1,0,0
302209,45:44.0,STATUS_UPDATE,1,1,1,0,0
303209,45:45.0,STATUS_UPDATE,1,1,1,0,0
304209,45:46.0,STATUS_UPDATE,1,1,1,0,0
305209,45:47.0,STATUS_UPDATE,1,1,1,0,0
306209,45:48.0,STATUS_UPDATE,1,1,1,0,0
307209,45:49.0,STATUS_UPDATE,1,1,1,0,0
308209,45:50.0,STATUS_UPDATE,1,1,1,0,0
309209,45:51.0,STATUS_UPDATE,1,1,1,0,0
310209,45:52.0,STATUS_UPDATE,1,1,1,0,0
311209,45:53.0,STATUS_UPDATE,1,1,1,0,0
312209,45:54.0,STATUS_UPDATE,1,1,1,0,0
313209,45:55.0,STATUS_UPDATE,1,1,1,0,0
314209,45:56.0,STATUS_UPDATE,1,1,1,0,0
315209,45:57.0,STATUS_UPDATE,1,1,1,0,0
316209,45:58.0,STATUS_UPDATE,1,1,1,0,0
317209,45:59.0,STATUS_UPDATE,1,1,1,0,0
318209,46:00.0,STATUS_UPDATE,1,1,1,0,0
319209,46:01.0,STATUS_UPDATE,1,1,1,0,0
320209,46:02.0,STATUS_UPDATE,1,1,1,0,0
320636,46:02.4,BLE_CMD_ALL_OFF,0,0,0,0,0
321209,46:03.0,STATUS_UPDATE,0,0,0,0,0
322209,46:04.0,STATUS_UPDATE,0,0,0,0,0
323209,46:05.0,STATUS_UPDATE,0,0,0,0,0
324209,46:06.0,STATUS_UPDATE,0,0,0,0,0
325209,46:07.0,STATUS_UPDATE,0,0,0,0,0
326209,46:08.0,STATUS_UPDATE,0,0,0,0,0
327209,46:09.0,STATUS_UPDATE,0,0,0,0,0
328209,46:10.0,STATUS_UPDATE,0,0,0,0,0
329209,46:11.0,STATUS_UPDATE,0,0,0,0,0
330209,46:12.0,STATUS_UPDATE,0,0,0,0,0
331209,46:13.0,STATUS_UPDATE,0,0,0,0,0
332209,46:14.0,STATUS_UPDATE,0,0,0,0,0
333209,46:15.0,STATUS_UPDATE,0,0,0,0,0
334209,46:16.0,STATUS_UPDATE,0,0,0,0,0
335209,46:17.0,STATUS_UPDATE,0,0,0,0,0
336209,46:18.0,STATUS_UPDATE,0,0,0,0,0
336564,46:18.4,Bluetooth_Disconnected,0,0,0,0,0
337209,46:19.0,STATUS_UPDATE,0,0,0,0,0
338209,46:20.0,STATUS_UPDATE,0,0,0,0,0
339209,46:21.0,STATUS_UPDATE,0,0,0,0,0
340209,46:22.0,STATUS_UPDATE,0,0,0,0,0
341209,46:23.0,STATUS_UPDATE,0,0,0,0,0
342209,46:24.0,STATUS_UPDATE,0,0,0,0,0
343209,46:25.0,STATUS_UPDATE,0,0,0,0,0
344209,46:26.0,STATUS_UPDATE,0,0,0,0,0
345209,46:27.0,STATUS_UPDATE,0,0,0,0,0
346209,46:28.0,STATUS_UPDATE,0,0,0,0,0
347209,46:29.0,STATUS_UPDATE,0,0,0,0,0
348209,46:30.0,STATUS_UPDATE,0,0,0,0,0
349209,46:31.0,STATUS_UPDATE,0,0,0,0,0
350209,46:32.0,STATUS_UPDATE,0,0,0,0,0
351209,46:33.0,STATUS_UPDATE,0,0,0,0,0
352209,46:34.0,STATUS_UPDATE,0,0,0,0,0
353209,46:35.0,STATUS_UPDATE,0,0,0,0,0
354209,46:36.0,STATUS_UPDATE,0,0,0,0,0
355209,46:37.0,STATUS_UPDATE,0,0,0,0,0
356209,46:38.0,STATUS_UPDATE,0,0,0,0,0
357209,46:39.0,STATUS_UPDATE,0,0,0,0,0
358209,46:40.0,STATUS_UPDATE,0,0,0,0,0
359209,46:41.0,STATUS_UPDATE,0,0,0,0,0
360209,46:42.0,STATUS_UPDATE,0,0,0,0,0
361209,46:43.0,STATUS_UPDATE,0,0,0,0,0
362209,46:44.0,STATUS_UPDATE,0,0,0,0,0
363209,46:45.0,STATUS_UPDATE,0,0,0,0,0
364209,46:46.0,STATUS_UPDATE,0,0,0,0,0
